time,concNnh4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,0.6863691806793213
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,0.45301681756973267
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,0.39748144149780273
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,0.11713941395282745
2012-01-15,0.39910829067230225
2012-02-15,0.490629643201828
2012-03-15,1.0487970113754272
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,0.364554226398468
2012-09-15,0.23890110850334167
2012-10-15,0.42451024055480957
2012-11-15,
2012-12-15,
2013-01-15,0.6290315985679626
2013-02-15,0.6796656250953674
2013-03-15,
2013-04-15,0.2964809834957123
2013-05-15,0.5423054099082947
2013-06-15,0.38742348551750183
2013-07-15,0.40966054797172546
2013-08-15,0.353447824716568
2013-09-15,0.5952080488204956
2013-10-15,
2013-11-15,0.348728746175766
2013-12-15,0.2118760645389557
2014-01-15,0.3372606337070465
2014-02-15,0.17018920183181763
2014-03-15,0.423919677734375
2014-04-15,0.5601398348808289
2014-05-15,0.5584762692451477
2014-06-15,
2014-07-15,0.32379090785980225
2014-08-15,
2014-09-15,
2014-10-15,0.27266645431518555
2014-11-15,
2014-12-15,
2015-01-15,0.23273572325706482
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,0.34140077233314514
2015-07-15,0.20697540044784546
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,0.2544580399990082
2015-12-15,
2016-01-15,0.31368356943130493
2016-02-15,
2016-03-15,0.410042405128479
2016-04-15,
2016-05-15,
2016-06-15,0.26081323623657227
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,0.5725796818733215
2017-01-15,0.6475052833557129
2017-02-15,
2017-03-15,0.3970296382904053
2017-04-15,
2017-05-15,
2017-06-15,0.19916494190692902
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,0.30399656295776367
2018-04-15,0.436397910118103
2018-05-15,
2018-06-15,0.3185585141181946
2018-07-15,0.2371828854084015
2018-08-15,0.19698359072208405
2018-09-15,0.13731448352336884
2018-10-15,0.26929786801338196
2018-11-15,
2018-12-15,0.42096516489982605
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
